"","NEG01","NEG02","NEG03","NEG04","NEG05","NEG06","NEG07","NEG08","NEG09","NEG10","PO01_1","PO01_2","PO02_1","PO02_2","PO03_1","PO03_2","PO04_1","PO04_2","PO05_1","PO05_2","POOBK","POOEB","POS01","POS02","POS03","POS04","POS05","POS06","POS07","POS08","POS09","POS10","SB01_1","SB01_2","SB02_1","SB02_2","SB03_1","SB03_2","SB04_1","SB04_2","SB05_1","SB05_2","SB06_1","SB06_2","SB07_1","SB07_2","SB08_1","SB08_2","SB09_1","SB09_2","SB10_1","SB10_2","SB12_1","SB12_2","SB14_1","SB14_2","SB15_1","SB15_2","SB16_1","SB16_2","SB17_1","SB17_2","SBK1","SBK2","SC01_1","SC01_2","SC02_1","SC02_2","SC03_1","SC03_2","SC04_1","SC04_2","SC05_1","SC05_2","SC06_1","SC06_2","SC07_1","SC07_2","SC08_1","SC08_2","SC09_1","SC09_2","SC10_1","SC10_2","SC11_1","SC11_2","SC12_1","SC12_2","SC13_1","SC13_2","SC14_1","SC14_2","SC15_1","SC15_2","SEB1","SEB10","SEB2","SEB3","SEB4","SEB5","SEB6","SEB7","SEB8","SEB9","SF01_1","SF01_2","SF02_1","SF02_2","SF03_1","SF03_2","SF04_1","SF04_2","SF05_1","SF05_2","SF06_1","SF06_2","SF07_1","SF07_2","SF08_1","SF08_2","SF09_1","SF09_2","SF10_1","SF10_2","SF11_1","SF11_2","SF12_1","SF12_2","SG01_1","SG01_2","SG02_1","SG02_2","SG03_1","SG03_2","SG04_1","SG04_2","SG05_1","SG05_2","SG06_1","SG06_2","SG07_1","SG07_2","SG08_1","SG08_2","TB01","TB02","TB03","TB04","TB05","TB06","TB07","TB08","TB09","TB10","TB12","TB14","TB15","TB15D","TB16","TB17","TBK1","TBK2","TBK3","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","TC13","TC14","TC15","TEB1","TEB2","TEB3","TFB1","WB01","WB01D","WB02","WB03","WB04","WB04D","WB05","WB06","WB07","WB08","WB09","WB10","WB11","WB12","WB13","WB14","WB15","WBK1","WBK3","WBK4","WC01","WC02","WC03","WC04","WC05","WEB1","WEB2","WEB3","WEB4","WF01","WF01D","WF02","WF03","WF04","WF05","WF06","WF06D","WF07","WF08","WG01","WG02","WG03","taxonomy"
"Sus_scrofa",571,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,14,6,0,31,0,10,0,0,27,0,125,0,0,31,0,0,0,26,0,5002,0,0,0,5479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,1299,0,0,0,0,0,0,0,0,0,0,11,2060,12736,0,11357,2462,0,0,0,0,0,0,101247,0,0,0,2699,0,0,0,0,0,5941,0,0,0,0,0,0,3678,0,0,0,0,4874,0,0,0,0,0,0,0,0,0,0,0,3277,1124,0,2283,1892,488,367,163,335,0,528,0,0,0,0,0,319,1724,533,0,936,323,0,0,457,0,0,0,0,0,7,0,0,4972,0,0,0,775,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,249,0,214,0,0,145,0,0,0,0,0,0,0,0,0,0,0,4666,177,0,0,0,0,4,0,0,238,0,"d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Suidae; g__Sus; s__Sus_scrofa"
"Canis_lupus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23712,0,0,0,0,0,36,0,0,0,0,0,0,4,0,0,0,0,1181,0,0,0,0,0,0,0,15,0,0,37,487,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,224,0,0,0,0,0,0,0,610,0,173,19,0,0,0,0,0,0,0,812,0,0,0,0,0,0,11803,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,"d__Eukaryota; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Canis; s__Canis_lupus"
"Lutra_lutra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Mammalia; o__Carnivora; f__Mustelidae; g__Lutra; s__Lutra_lutra"
"Martes_martes",0,0,0,0,0,0,0,0,0,0,70849,57833,2441,1288,85543,95313,0,113,61464,140519,189,8,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12097,265930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13366,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Mammalia; o__Carnivora; f__Mustelidae; g__Martes; s__Martes_martes"
"Meles_meles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37374,27100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Mammalia; o__Carnivora; f__Mustelidae; g__Meles; s__Meles_meles"
"Neomys_fodiens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2132,0,0,0,0,0,0,0,0,0,540,0,80,717,0,0,0,0,0,0,3108,0,0,0,0,0,0,0,0,0,1125,3,0,0,0,0,0,535,1299,"d__Eukaryota; p__Chordata; c__Mammalia; o__Eulipotyphla; f__Soricidae; g__Neomys; s__Neomys_fodiens"
"Sorex_araneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,56594,0,0,0,0,0,0,0,0,0,4018,27296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33155,0,0,0,0,0,0,0,0,0,1528,0,0,0,68,0,0,0,0,0,0,0,4528,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,511,2643,"d__Eukaryota; p__Chordata; c__Mammalia; o__Eulipotyphla; f__Soricidae; g__Sorex; s__Sorex_araneus"
"Sorex_minutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,139,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,"d__Eukaryota; p__Chordata; c__Mammalia; o__Eulipotyphla; f__Soricidae; g__Sorex; s__Sorex_minutus"
"Talpa_europaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Mammalia; o__Eulipotyphla; f__Talpidae; g__Talpa; s__Talpa_europaea"
"Lepus_timidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Mammalia; o__Lagomorpha; f__Leporidae; g__Lepus; s__Lepus_timidus"
