blank,sample
POS04,TEB3
POS04,TFB1
POS04,NEG04
POS04,POS04
POS07,SB01_1
POS07,SB01_2
POS07,SB02_1
POS07,SB02_2
POS07,SB03_1
POS07,SB03_2
POS07,SB04_1
POS07,SB04_2
POS07,SB05_1
POS07,SB05_2
POS07,SB06_1
POS07,SB06_2
POS07,SB07_1
POS07,SB07_2
POS07,NEG07
POS07,POS07
POS07,SB08_1
POS07,SB08_2
POS07,SB14_1
POS07,SB14_2
POS07,SB17_1
POS07,SBK1
POS07,SBK2
POS07,SEB4
POS08,SB09_1
POS08,SB09_2
POS08,SB10_1
POS08,SB10_2
POS08,SB12_1
POS08,SB12_2
POS08,SB15_1
POS08,SB15_2
POS08,SB16_1
POS08,SB16_2
POS08,SB17_2
POS08,SC01_1
POS08,SC01_2
POS08,SC02_1
POS08,NEG08
POS08,POS08
POS08,SC02_2
POS08,SC04_1
POS08,SC04_2
POS08,SC08_2
POS08,SC09_1
POS08,SEB3
POS08,SEB9
POS08,SEB10
POS09,SC03_1
POS09,SC03_2
POS09,SC05_1
POS09,SC05_2
POS09,SC06_1
POS09,SC06_2
POS09,SC07_1
POS09,SC07_2
POS09,SC08_1
POS09,SC09_2
POS09,SC10_1
POS09,SC10_2
POS09,SC11_1
POS09,SC11_2
POS09,NEG09
POS09,POS09
POS09,SC12_1
POS09,SC12_2
POS09,SC13_2
POS09,SC14_1
POS09,SC15_1
POS09,SC15_2
POS09,SEB1
POS09,SEB2
POS10,SC13_1
POS10,SC14_2
POS10,PO01_1
POS10,PO01_2
POS10,PO02_1
POS10,PO02_2
POS10,PO03_1
POS10,PO03_2
POS10,PO04_1
POS10,PO04_2
POS10,PO05_1
POS10,NEG10
POS10,POS10
POS10,PO05_2
POS10,POOBK
POS10,POOEB
POS10,WB01D
POS10,WB04D
POS10,WF01D
POS10,WF06D
POS10,TB15D
SEB10,SB15_2
SEB10,SBK1
SEB10,SBK2
SEB10,SEB10
SEB1,SC05_1
SEB1,SC05_2
SEB1,SC10_1
SEB1,SC10_2
SEB1,SC11_2
SEB1,SC12_1
SEB1,SC12_2
SEB1,SC13_2
SEB1,SC15_1
SEB1,SC15_2
SEB1,SEB1
SEB1,SC04_1
SEB2,SC03_1
SEB2,SC03_2
SEB2,SC06_1
SEB2,SC06_1
SEB2,SC07_2
SEB2,SC08_1
SEB2,SC09_2
SEB2,SC11_1
SEB2,SC14_1
SEB2,SEB2
SEB2,SC01_1
SEB2,SC02_2
SEB3,SB03_1
SEB3,SB06_2
SEB3,SB09_1
SEB3,SB10_1
SEB3,SB12_2
SEB3,SB15_1
SEB3,SB16_1
SEB3,SC01_2
SEB3,SC02_1
SEB3,SC08_2
SEB3,SC09_1
SEB3,SEB3
SEB4,SB01_1
SEB4,SB01_2
SEB4,SB03_2
SEB4,SB04_1
SEB4,SB04_2
SEB4,SB05_1
SEB4,SB05_2
SEB4,SB08_2
SEB4,SB12_1
SEB4,SB14_1
SEB4,SB16_2
SEB4,SEB4
SEB5,SB02_2
SEB5,SB06_1
SEB5,SB07_1
SEB5,SB07_2
SEB5,SB08_1
SEB5,SB14_2
SEB5,SB17_1
SEB5,SB17_2
SEB5,SG01_2
SEB5,SG02_1
SEB5,SG03_1
SEB5,SEB5
SEB6,SG01_1
SEB6,SG02_2
SEB6,SG04_1
SEB6,SG04_2
SEB6,SG05_1
SEB6,SG05_2
SEB6,SG06_1
SEB6,SG06_2
SEB6,SG07_1
SEB6,SG07_2
SEB6,SG08_1
SEB6,SEB6
SEB7,SF01_1
SEB7,SF01_2
SEB7,SF02_1
SEB7,SF02_2
SEB7,SF03_1
SEB7,SF03_2
SEB7,SF04_1
SEB7,SF04_2
SEB7,SF05_1
SEB7,SF05_2
SEB7,SF06_1
SEB7,SEB7
SEB8,SF06_2
SEB8,SF07_1
SEB8,SF07_2
SEB8,SF08_1
SEB8,SF08_2
SEB8,SF09_1
SEB8,SF09_2
SEB8,SF10_1
SEB8,SF10_2
SEB8,SEB8
SEB8,SF11_1
SEB8,SF11_2
SEB9,SC07_1
SEB9,SC13_1
SEB9,SC14_2
SEB9,SF12_1
SEB9,SF12_2
SEB9,SG03_2
SEB9,SG08_2
SEB9,SB02_1
SEB9,SB09_1
SEB9,SB10_2
SEB9,SC04_2
SEB9,SEB9
TBK1,TB01
TBK1,TB02
TBK1,TB03
TBK1,TC01
TBK1,TC02
TBK1,TC03
TBK1,TC11
TBK1,TC12
TBK1,TBK1
TBK2,TB06
TBK2,TBK2
TBK2,TB05
TBK2,TB04
TBK2,TC13
TBK2,TC14
TBK2,TC08
TBK2,TC07
TBK2,TC06
TBK3,TB12
TBK3,TB15
TBK3,TB07
TBK3,TB08
TBK3,TB14
TBK3,TB09
TBK3,TB10
TBK3,TB16
TBK3,TC09
TBK3,TC10
TBK3,TBK3
TEB1,TB01
TEB1,TB02
TEB1,TB03
TEB1,TB04
TEB1,TB05
TEB1,TB06
TEB1,TB07
TEB1,TB08
TEB1,TB09
TEB1,TB10
TEB1,TB12
TEB1,TEB1
TEB2,TB14
TEB2,TB15
TEB2,TB16
TEB2,TB17
TEB2,TC01
TEB2,TC02
TEB2,TC03
TEB2,TC04
TEB2,TC05
TEB2,TC06
TEB2,TC07
TEB2,TEB2
TEB3,TC08
TEB3,TC09
TEB3,TC10
TEB3,TC11
TEB3,TC12
TEB3,TC13
TEB3,TC14
TEB3,TC15
TEB3,TBK1
TEB3,TBK2
TEB3,TBK3
TEB3,TFB1
TEB3,TEB3
WBK1,WF05
WBK1,WF06
WBK1,WF06D
WBK1,WF07
WBK1,WBK1
WBK3,WB04
WBK3,WB05
WBK3,WB06
WBK3,WB07
WBK3,WB08
WBK3,WB09
WBK3,WB10
WBK3,WB11
WBK3,WB12
WBK3,WB13
WBK3,WB14
WBK3,WB15
WBK3,WC05
WBK3,WBK3
WBK4,WB04
WBK4,WB05
WBK4,WB06
WBK4,WB07
WBK4,WB08
WBK4,WB09
WBK4,WB10
WBK4,WB11
WBK4,WB12
WBK4,WB13
WBK4,WB14
WBK4,WB15
WBK4,WC05
WBK4,WBK4
WEB3,WB02
WEB3,WB03
WEB3,WB04
WEB3,WB04D
WEB3,WB05
WEB3,WB06
WEB3,WB07
WEB3,WB08
WEB3,WB09
WEB3,WB10
WEB3,WB11
WEB3,WB12
WEB3,WEB3
WEB4,WB01
WEB4,WB01D
WEB4,WB13
WEB4,WB14
WEB4,WB15
WEB4,WBK3
WEB4,WBK4
WEB4,WF06D
WEB4,WEB4
WEB1,WEB1
WEB1,WF01
WEB1,WF02
WEB1,WG01
WEB1,WG02
WEB1,WG03
WEB2,WBK1
WEB2,WC01
WEB2,WC02
WEB2,WC03
WEB2,WC04
WEB2,WC05
WEB2,WEB2
WEB2,WF03
WEB2,WF04
WEB2,WF05
WEB2,WF07
WEB2,WF08
SBK1,SB01_1
SBK1,SB01_2
SBK1,SB02_1
SBK1,SB02_2
SBK1,SB03_1
SBK1,SB03_2
SBK1,SB04_1
SBK1,SB04_2
