,sample,type,habitat,location
,NCL03A_2023-05-29,Cam,F,east
,NCL03A_2023-05-30,Cam,F,east
,NCL03A_2023-05-31,Cam,F,east
,NCL03A_2023-06-01,Cam,F,east
,NCL03A_2023-06-02,Cam,F,east
,NCL03A_2023-06-03,Cam,F,east
,NCL03A_2023-06-04,Cam,F,east
,NCL03A_2023-06-05,Cam,F,east
,NCL03A_2023-06-06,Cam,F,east
,NCL03A_2023-06-07,Cam,F,east
,NCL03A_2023-06-08,Cam,F,east
,NCL03A_2023-06-09,Cam,F,east
,NCL03A_2023-06-10,Cam,F,east
,NCL03A_2023-06-11,Cam,F,east
,NCL03A_2023-06-12,Cam,F,east
,NCL03A_2023-06-13,Cam,F,east
,NCL03A_2023-06-14,Cam,F,east
,NCL03A_2023-06-15,Cam,F,east
,NCL03A_2023-06-16,Cam,F,east
,NCL03A_2023-06-17,Cam,F,east
,NCL03A_2023-06-18,Cam,F,east
,NCL03A_2023-06-20,Cam,F,east
,NCL03A_2023-06-21,Cam,F,east
,NCL03A_2023-06-22,Cam,F,east
,NCL03A_2023-06-23,Cam,F,east
,NCL03A_2023-06-24,Cam,F,east
,NCL03A_2023-06-25,Cam,F,east
,NCL03A_2023-06-26,Cam,F,east
,NCL03A_2023-06-27,Cam,F,east
,NCL03A_2023-06-28,Cam,F,east
,NCL03A_2023-06-29,Cam,F,east
,NCL03A_2023-06-30,Cam,F,east
,NCL03B_2023-05-08,Cam,F,east
,NCL03B_2023-05-09,Cam,F,east
,NCL03B_2023-05-10,Cam,F,east
,NCL03B_2023-05-12,Cam,F,east
,NCL03B_2023-05-13,Cam,F,east
,NCL03B_2023-05-14,Cam,F,east
,NCL03B_2023-05-15,Cam,F,east
,NCL03B_2023-05-16,Cam,F,east
,NCL03B_2023-05-17,Cam,F,east
,NCL03B_2023-05-18,Cam,F,east
,NCL03B_2023-05-19,Cam,F,east
,NCL03B_2023-05-20,Cam,F,east
,NCL03B_2023-05-21,Cam,F,east
,NCL03B_2023-05-22,Cam,F,east
,NCL03B_2023-05-23,Cam,F,east
,NCL03B_2023-05-24,Cam,F,east
,NCL03B_2023-05-25,Cam,F,east
,NCL03B_2023-05-26,Cam,F,east
,NCL03B_2023-05-27,Cam,F,east
,NCL03B_2023-05-28,Cam,F,east
,NCL03B_2023-05-29,Cam,F,east
,NCL03B_2023-05-30,Cam,F,east
,NCL03B_2023-05-31,Cam,F,east
,NCL03B_2023-06-02,Cam,F,east
,NCL03B_2023-06-03,Cam,F,east
,NCL03B_2023-06-04,Cam,F,east
,NCL03B_2023-06-05,Cam,F,east
,NCL03B_2023-06-06,Cam,F,east
,NCL03B_2023-06-08,Cam,F,east
,NCL03B_2023-06-09,Cam,F,east
,NCL03B_2023-06-11,Cam,F,east
,NCL03B_2023-06-12,Cam,F,east
,NCL03B_2023-06-13,Cam,F,east
,NCL03B_2023-06-14,Cam,F,east
,NCL03B_2023-06-15,Cam,F,east
,NCL03B_2023-06-17,Cam,F,east
,NCL03B_2023-06-18,Cam,F,east
,NCL03B_2023-06-19,Cam,F,east
,NCL03B_2023-06-20,Cam,F,east
,NCL03B_2023-06-21,Cam,F,east
,NCL03B_2023-06-22,Cam,F,east
,NCL03B_2023-06-24,Cam,F,east
,NCL03B_2023-06-25,Cam,F,east
,NCL03B_2023-06-26,Cam,F,east
,NCL03B_2023-06-28,Cam,F,east
,NCL03B_2023-06-29,Cam,F,east
,NCL03B_2023-06-30,Cam,F,east
,NCL04_2023-05-01,Aud,C,west
,NCL04_2023-05-02,Aud,C,west
,NCL04_2023-05-03,Aud,C,west
,NCL04_2023-05-04,Aud,C,west
,NCL04_2023-05-05,Aud,C,west
,NCL04_2023-05-06,Aud,C,west
,NCL04_2023-05-07,Aud,C,west
,NCL04_2023-05-08,Aud,C,west
,NCL04_2023-05-09,Aud,C,west
,NCL04_2023-05-10,Aud,C,west
,NCL04_2023-05-11,Aud,C,west
,NCL04_2023-05-12,Aud,C,west
,NCL04_2023-05-13,Aud,C,west
,NCL04_2023-05-14,Aud,C,west
,NCL04_2023-05-15,Aud,C,west
,NCL04_2023-05-16,Aud,C,west
,NCL04_2023-05-17,Aud,C,west
,NCL04_2023-05-18,Aud,C,west
,NCL04_2023-05-19,Aud,C,west
,NCL04_2023-05-20,Aud,C,west
,NCL04_2023-05-21,Aud,C,west
,NCL04_2023-05-22,Aud,C,west
,NCL04_2023-05-23,Aud,C,west
,NCL04_2023-05-24,Aud,C,west
,NCL04_2023-05-25,Aud,C,west
,NCL04_2023-05-26,Aud,C,west
,NCL04_2023-05-27,Aud,C,west
,NCL04_2023-05-28,Aud,C,west
,NCL04_2023-05-29,Aud,C,west
,NCL04_2023-05-30,Aud,C,west
,NCL04_2023-05-31,Aud,C,west
,NCL04_2023-06-01,Aud,C,west
,NCL04_2023-06-02,Aud,C,west
,NCL04_2023-06-03,Aud,C,west
,NCL04_2023-06-04,Aud,C,west
,NCL04_2023-06-06,Aud,C,west
,NCL04_2023-06-07,Aud,C,west
,NCL04_2023-06-08,Aud,C,west
,NCL04_2023-06-09,Aud,C,west
,NCL04_2023-06-10,Aud,C,west
,NCL04_2023-06-11,Aud,C,west
,NCL04_2023-06-12,Aud,C,west
,NCL04_2023-06-13,Aud,C,west
,NCL04_2023-06-15,Aud,C,west
,NCL04A_2023-05-02,Cam,C,west
,NCL04A_2023-05-18,Cam,C,west
,NCL04A_2023-05-19,Cam,C,west
,NCL04A_2023-05-23,Cam,C,west
,NCL04A_2023-05-25,Cam,C,west
,NCL04A_2023-05-26,Cam,C,west
,NCL04A_2023-05-29,Cam,C,west
,NCL04A_2023-06-02,Cam,C,west
,NCL04A_2023-06-05,Cam,C,west
,NCL04A_2023-06-08,Cam,C,west
,NCL04A_2023-06-09,Cam,C,west
,NCL04A_2023-06-10,Cam,C,west
,NCL04A_2023-06-11,Cam,C,west
,NCL04A_2023-06-13,Cam,C,west
,NCL04A_2023-06-14,Cam,C,west
,NCL04A_2023-06-15,Cam,C,west
,NCL04A_2023-06-17,Cam,C,west
,NCL04A_2023-06-21,Cam,C,west
,NCL04A_2023-06-23,Cam,C,west
,NCL04A_2023-06-24,Cam,C,west
,NCL04A_2023-06-25,Cam,C,west
,NCL04A_2023-06-26,Cam,C,west
,NCL04A_2023-06-27,Cam,C,west
,NCL04A_2023-06-28,Cam,C,west
,NCL04A_2023-06-29,Cam,C,west
,NCL04B_2023-05-08,Cam,C,west
,NCL04B_2023-05-11,Cam,C,west
,NCL04B_2023-05-12,Cam,C,west
,NCL04B_2023-05-13,Cam,C,west
,NCL04B_2023-05-14,Cam,C,west
,NCL04B_2023-05-16,Cam,C,west
,NCL04B_2023-05-17,Cam,C,west
,NCL04B_2023-05-18,Cam,C,west
,NCL04B_2023-05-19,Cam,C,west
,NCL04B_2023-05-20,Cam,C,west
,NCL04B_2023-05-23,Cam,C,west
,NCL04B_2023-05-24,Cam,C,west
,NCL04B_2023-05-26,Cam,C,west
,NCL04B_2023-05-27,Cam,C,west
,NCL04B_2023-05-29,Cam,C,west
,NCL04B_2023-05-30,Cam,C,west
,NCL04B_2023-05-31,Cam,C,west
,NCL04B_2023-06-01,Cam,C,west
,NCL04B_2023-06-02,Cam,C,west
,NCL04B_2023-06-03,Cam,C,west
,NCL04B_2023-06-04,Cam,C,west
,NCL04B_2023-06-05,Cam,C,west
,NCL04B_2023-06-06,Cam,C,west
,NCL04B_2023-06-07,Cam,C,west
,NCL04B_2023-06-08,Cam,C,west
,NCL04B_2023-06-09,Cam,C,west
,NCL04B_2023-06-10,Cam,C,west
,NCL04B_2023-06-11,Cam,C,west
,NCL04B_2023-06-12,Cam,C,west
,NCL04B_2023-06-13,Cam,C,west
,NCL04B_2023-06-14,Cam,C,west
,NCL04B_2023-06-15,Cam,C,west
,NCL04B_2023-06-19,Cam,C,west
,NCL04B_2023-06-21,Cam,C,west
,NCL04B_2023-06-22,Cam,C,west
,NCL04B_2023-06-23,Cam,C,west
,NCL04B_2023-06-25,Cam,C,west
,NCL04B_2023-06-28,Cam,C,west
,NCL06_2023-05-01,Aud,C,west
,NCL06_2023-05-02,Aud,C,west
,NCL06_2023-05-03,Aud,C,west
,NCL06_2023-05-04,Aud,C,west
,NCL06_2023-05-05,Aud,C,west
,NCL06_2023-05-06,Aud,C,west
,NCL06_2023-05-07,Aud,C,west
,NCL06_2023-05-08,Aud,C,west
,NCL06_2023-05-09,Aud,C,west
,NCL06_2023-05-10,Aud,C,west
,NCL06_2023-05-11,Aud,C,west
,NCL06_2023-05-12,Aud,C,west
,NCL06_2023-05-13,Aud,C,west
,NCL06_2023-05-14,Aud,C,west
,NCL06_2023-05-15,Aud,C,west
,NCL06_2023-05-16,Aud,C,west
,NCL06_2023-05-17,Aud,C,west
,NCL06_2023-05-18,Aud,C,west
,NCL06_2023-05-19,Aud,C,west
,NCL06_2023-05-20,Aud,C,west
,NCL06_2023-05-21,Aud,C,west
,NCL06_2023-05-22,Aud,C,west
,NCL06_2023-05-23,Aud,C,west
,NCL06_2023-05-24,Aud,C,west
,NCL06_2023-05-25,Aud,C,west
,NCL06_2023-05-26,Aud,C,west
,NCL06_2023-05-27,Aud,C,west
,NCL06_2023-05-28,Aud,C,west
,NCL06_2023-05-29,Aud,C,west
,NCL06_2023-05-30,Aud,C,west
,NCL06_2023-05-31,Aud,C,west
,NCL06_2023-06-01,Aud,C,west
,NCL06_2023-06-02,Aud,C,west
,NCL06_2023-06-03,Aud,C,west
,NCL06_2023-06-04,Aud,C,west
,NCL06_2023-06-06,Aud,C,west
,NCL06_2023-06-07,Aud,C,west
,NCL06_2023-06-08,Aud,C,west
,NCL06_2023-06-09,Aud,C,west
,NCL06_2023-06-10,Aud,C,west
,NCL06_2023-06-11,Aud,C,west
,NCL06_2023-06-12,Aud,C,west
,NCL06_2023-06-13,Aud,C,west
,NCL06A_2023-05-07,Cam,C,west
,NCL06A_2023-05-29,Cam,C,west
,NCL06A_2023-05-30,Cam,C,west
,NCL06A_2023-06-04,Cam,C,west
,NCL06A_2023-06-06,Cam,C,west
,NCL06A_2023-06-09,Cam,C,west
,NCL06A_2023-06-11,Cam,C,west
,NCL06A_2023-06-19,Cam,C,west
,NCL06A_2023-06-26,Cam,C,west
